カード名	カード番号	Q:ID	QA	UpdatedAt	
オリバンダーの店	01-081	78	Q: 01-033「入学許可証」の「デッキの上から2枚を見て、その中から【魔法使い】または【魔女】のカード1枚までを公開し、手札に移す。」によって、手札にカードを移さなかった場合、「その後、残りのカードを任意の順番でデッキの下に移す。」は発動しますか。 / A: 発動します。	2026/4/24	
オリバンダーの店	01-081	91	Q: 01-081「オリバンダーの店」は、「杖」を装備できる味方キャラがいない場合でも、「杖」を抜き出すことはできますか。 / A: できません。「杖」を装備できる味方キャラがいない場合は、デッキの上から10枚の中に戻ります。	2026/4/24	
9と3/4番線	01-080	87	Q: 01-080「9と3/4番線」の「〔自動〕〔自分のターン終了時〕　手札1枚を捨て札にし、味方の【ホグワーツ】カード1枚までをメインフィールドに移す。」は、どこからメインフィールドに移しますか。 / A: サポートフィールドから、味方の【ホグワーツ】カード1枚までをメインフィールドに移します。	2026/4/24	
9と3/4番線	01-080	88	Q: 01-080「9と3/4番線」は、ターン終了時に、手札を捨てず、メインフィールドに移さないことも選べますか。 / A: 選べません。〔自動〕〔自分のターン終了時〕は必ず発動しなければなりません。サポートフィールドに味方の【ホグワーツ】カード1枚がない場合でも、手札1枚を捨てる必要があります。	2026/4/24	
9と3/4番線	01-080	89	Q: 01-080「9と3/4番線」の効果で、S01-002「ハリー・ポッター」がサポートフィールドからメインフィールドに移った場合、そのターンに「〔自動〕〔自分のターン終了時〕味方キャラ1枚までを活動状態にする。」は発動しますか。 / A: 発動しません。ターンの終了時に処理が発生する効果を解決する時点で、効果が発動できない状態のカードは、その後効果が発動できる状態になったとしても、効果を発動することはできません。	2026/4/24	
9と3/4番線	01-080	90	Q: 自分の手札が無い場合、01-080「9と3/4番線」の「味方の【ホグワーツ】カード1枚までをメインフィールドに移す。」を発動できますか。 / A: できません。	2026/4/24	
動く階段	01-079	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
動く階段	01-079	86	Q: 01-079「動く階段」で相手のアタック対象を、活動状態の味方キャラ1枚に変更することはできますか。 / A: できません。	2026/4/24	
校長先生のカード	01-078	85	Q: 01-078「校長先生のカード」でメインフィールドに出した「アルバス・ダンブルドア」が、次の自分のターン開始時にサポートフィールドにいる場合、手札に戻りますか。 / A: 決闘場にいる限り、手札に戻ります。ただし、出したカードが一度でも決闘場から離れていた場合、手札に戻る効果は発動しません。	2026/4/24	
思い出し玉	01-077	84	Q: 01-077「思い出し玉」で、裏向きで重ねたカードの内容を確認することはできますか。 / A: できません。	2026/4/24	
アロホモラ	01-076	81	Q: 01-073「フラッフィー」が、01-076「アロホモラ」の効果で、デッキから手札に移る場合の処理はどうなりますか。 / A: まず、01-076「アロホモラ」の効果でカードを2枚引き、この2枚を他の手札と混ぜる前に、その中にある01-073「フラッフィー」を任意の枚数相手に見せて、メインフィールドに出します。その後、01-076「アロホモラ」の「手札1枚を捨て札にする。」を処理します。	2026/4/24	
ウィンガード・レビオーサ	01-074	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
ウィンガード・レビオーサ	01-074	82	Q: 味方キャラ2枚でのアタックを行った決闘中に、自分が01-074「ウィンガード・レビオーサ」をプレイした場合、決闘中の味方キャラ2枚は両方とも±0/-5されますか。 / A: はい、決闘中の味方キャラ2枚の両方が±0/-5されます。	2026/4/24	
ウィンガード・レビオーサ	01-074	83	Q: 01-074「ウィンガード・レビオーサ」をプレイした後にブロック宣言を行ったキャラは、±0/-5されますか。 / A: いいえ、±0/-5されません。	2026/4/24	
フラッフィー	01-073	81	Q: 01-073「フラッフィー」が、01-076「アロホモラ」の効果で、デッキから手札に移る場合の処理はどうなりますか。 / A: まず、01-076「アロホモラ」の効果でカードを2枚引き、この2枚を他の手札と混ぜる前に、その中にある01-073「フラッフィー」を任意の枚数相手に見せて、メインフィールドに出します。その後、01-076「アロホモラ」の「手札1枚を捨て札にする。」を処理します。	2026/4/24	
ダドリー・ダーズリー	01-068	80	Q: 01-068「ダドリー・ダーズリー」は、相手のメインフィールドに「ハリー・ポッター」のカードがいる場合でもダウンしますか。 / A: はい、ダウンします。	2026/4/24	
ペチュニア・ダーズリー	01-065	79	Q: 01-065「ペチュニア・ダーズリー」で表向きにしたカードは、表向きのままですか、裏向きに戻しますか。 / A: 表向きのままゲームを進行しますが、デッキにある表向きのカードは、デッキをシャッフルする効果・デッキを見る効果・デッキから公開される効果の対象に含まれ、山札の上や下などに戻る際は、裏向きにしてデッキに戻します。	2026/4/24	
バーノン・ダーズリー	01-064	77	Q: 01-064「バーノン・ダーズリー」をプレイし、手札から【手紙】カード1枚を捨て札にできない場合、「その後、相手は手札1枚を捨て札にする。」は発動しますか。 / A: 発動しません。	2026/4/24	
ハリー・ポッター	01-061	74	Q: 01-061「ハリー・ポッター」の「〔自動〕〔エントリー〕　メインフィールドにいる味方の【マグル】カード1枚を手札に移し、このカードを活動状態にする。」は、メインフィールドに味方の【マグル】カードがある場合、必ず手札に戻す必要はありますか。 / A: メインフィールドに味方の【マグル】カードがある場合、必ず手札に戻す必要があります。また、メインフィールドに味方の【マグル】カードがない場合、「このカードを活動状態にする。」は発動しません。	2026/4/24	
ハリー・ポッター	01-061	75	Q: メインフィールドに味方の【マグル】カードが無い場合、01-061「ハリー・ポッター」の「このカードを活動状態にする。」は、発動しますか。 / A: 発動しません。	2026/4/24	
ハリー・ポッター	01-061	76	Q: 01-061「ハリー・ポッター」をサポートフィールドにプレイした場合、〔常時〕や〔自動〕〔エントリー〕は発動しますか。 / A: 発動しません。	2026/4/24	
太った婦人	01-059	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
太った修道士	01-058	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
灰色のレディ	01-057	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
